T_K,hkl,Q0_Ainv,Q0_err,xi_nm,xi_err,FWHM_Ainv,FWHM_err,source
320,011,1.078642,0.000043,42.5265,38.3146,0.013297,0.011980,raw
320,10-1,1.103682,0.000028,42.4159,22.3990,0.013332,0.007040,raw
320,101,1.161788,0.000092,49.2703,61.6775,0.011477,0.014367,raw
320,120,1.143082,0.000126,61.0314,2.0595,0.009266,0.000313,processed
329,011,1.077426,0.000024,40.4339,19.5341,0.013985,0.006757,raw
329,10-1,1.100596,0.000041,30.1407,16.3452,0.018762,0.010174,raw
329,101,1.161301,0.000057,63.1831,15.2677,0.008950,0.002163,raw
329,120,1.141712,0.000120,59.4018,1.7901,0.009520,0.000287,processed
339,011,1.077702,0.000075,76.0950,20.4795,0.007431,0.002000,raw
339,10-1,1.121294,0.001643,45.1274,11.2818,0.012531,0.003133,raw
339,101,1.151693,0.000147,43.5449,10.8862,0.012986,0.003247,raw
339,120,1.134489,0.000042,65.4287,0.8969,0.008643,0.000118,processed
350,011,1.076728,0.000062,62.4363,15.6091,0.009057,0.002264,raw
350,10-1,1.113609,0.000049,28.1152,27.0886,0.020113,0.019379,raw
350,101,1.158145,0.000072,69.6822,17.4205,0.008115,0.002029,raw
350,120,1.134744,0.000151,80.1455,4.8562,0.007056,0.000428,raw
360,111,1.105323,0.000025,27.3281,0.1091,0.020693,0.000083,processed
370,111,1.106308,0.000048,33.8669,0.3146,0.016697,0.000155,raw
380,111,1.096879,0.000141,50.7532,1.9478,0.011142,0.000428,processed
399,111,1.097929,0.000008,91.2776,0.3612,0.006195,0.000025,processed
420,111,1.100325,0.000011,68.8018,0.2595,0.008219,0.000031,processed
